Iteration,Relative Error,a,b,c,f(a),f(b),f(c)
0,null,120.0,130.0,125.0,-0.5682455953194108,0.2654965087938592,-0.13404647980686946
1,0.0196078431372549,125.0,130.0,127.5,-0.13404647980686946,0.2654965087938592,0.06978960640731202
2,0.009900990099009901,125.0,127.5,126.25,-0.13404647980686946,0.06978960640731202,-0.031080614908631787
