Iteration,Relative Error,x,delta * x,f(x),f(x + delta*x)
0,null,140.0,1.4000000000000001,0.9761201144824554,1.0673325710825736
1,0.11984101522145602,125.01774635599864,1.2501774635599865,-0.13256969404420715,-0.029619577957930687
2,0.012713369495401458,126.62760994960757,1.2662760994960758,-3.9100256395840916E-4,0.10115079060392418
3,3.8505082111974214E-5,126.63248594387689,1.2663248594387688,4.042976087248462E-6,0.10154163078897227
