Iteration,Relative Error,Current X,f(x),f'(x)
0,null,0.2,-1.912,13.26
1,0.41893076248904465,0.34419306184012066,-0.21231619016964753,10.35669553585444
2,0.05621263586434921,0.3646934414674466,-0.0040319609523260524,9.964181307157968
3,0.0011083199198267633,0.3650980869499038,-1.5573167209126382E-6,9.956484443939129
