Iteration,Relative Error,a,b,c,f(a),f(b),f(c)
0,null,120.0,130.0,126.8156039201567,-0.5682455953194108,0.2654965087938592,0.014817148564475247
1,0.0013676486766049678,120.0,126.8156039201567,126.64240160719655,-0.5682455953194108,0.014817148564475247,8.072973247124082E-4
