Iteration,Relative Error,x,f(x)
0,null,130.0,0.2654965087938592
1,null,120.0,-0.5682455953194108
2,0.025110443678903915,126.81560392015672,0.014817148564446825
3,0.001486433603255049,126.6273807263529,-4.095746560324187E-4
